STATE,UACE,NAME,STATEFP,PART,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Texas,42751,Jasper,48,0,"7,000","3,373","22,111,605",8.54,"13,407",0.01,819.93,Jasper,Jasper,TX,Texas,48241,Jasper,30.9221,-93.9947,7131,263.6,shape,False,True,America/Chicago,3,75951,1840019560
Texas,44074,Kaufman,48,0,"6,127","2,290","7,944,797",3.07,"4,313",0.0,"1,997.39",Kaufman,Kaufman,TX,Texas,48257,Kaufman,32.5766,-96.3158,7520,310.6,shape,False,True,America/Chicago,3,75142,1840019450
Texas,44614,Kermit,48,0,"6,381","2,643","7,225,148",2.79,0,0.0,"2,287.39",Kermit,Kermit,TX,Texas,48495,Winkler,31.854,-103.0924,5984,918.2,shape,False,True,America/Chicago,3,79745,1840020796
Texas,44641,Kerrville,48,0,"31,844","14,956","56,518,765",21.82,"435,135",0.17,"1,459.26",Kerrville,Kerrville,TX,Texas,48265,Kerr,30.0398,-99.132,24333,421.5,shape,False,True,America/Chicago,3,78028,1840020908
Texas,44938,Kilgore,48,0,"16,719","6,776","56,365,620",21.76,"56,215",0.02,768.23,Kilgore,Kilgore,TX,Texas,48183,Gregg,32.398,-94.8602,13400,278.0,shape,False,True,America/Chicago,3,75662 75663,1840020747
Texas,44992,Killeen,48,0,"257,222","98,214","260,093,903",100.42,"715,102",0.28,"2,561.39",Killeen,Killeen,TX,Texas,48027,Bell,31.0753,-97.7297,265921,1086.4,shape,False,True,America/Chicago,2,76541 76543 76542 76549 76540 76547,1840020854
Texas,45181,Kingsland,48,0,"8,093","4,878","26,779,704",10.34,"158,083",0.06,782.71,Kingsland,Kingsland,TX,Texas,48299,Llano,30.6651,-98.4545,7075,302.0,shape,False,False,America/Chicago,3,78639,1840018217
Texas,45316,Kingsville,48,0,"24,945","11,291","32,856,175",12.69,"6,585",0.0,"1,966.37",Kingsville,Kingsville,TX,Texas,48273,Kleberg,27.5094,-97.861,25265,702.6,shape,False,True,America/Chicago,3,78363 78364,1840021013
Texas,45761,Krum,48,0,"5,876","2,062","8,470,367",3.27,"6,508",0.0,"1,796.71",Krum,Krum,TX,Texas,48121,Denton,33.2655,-97.2252,5627,728.2,shape,False,True,America/Chicago,3,76249,1840020645
Texas,46342,La Grange,48,0,"5,020","2,296","9,892,476",3.82,"8,895",0.0,"1,314.31",La Grange,La Grange,TX,Texas,48149,Fayette,29.9129,-96.8768,4416,412.3,shape,False,True,America/Chicago,3,78945,1840020934
Texas,46801,Lake Jackson,48,0,"56,054","24,765","88,959,801",34.35,"5,038,143",1.95,"1,631.96",Lake Jackson,Lake Jackson,TX,Texas,48039,Brazoria,29.0516,-95.4521,27954,546.9,shape,False,True,America/Chicago,3,77515 77566,1840020980
Texas,47395,Lamesa,48,0,"8,731","3,952","11,251,019",4.34,"23,217",0.01,"2,009.88",Lamesa,Lamesa,TX,Texas,48115,Dawson,32.7333,-101.9541,8571,647.9,shape,False,True,America/Chicago,3,79331,1840020725
Texas,47422,Lampasas,48,0,"6,674","3,004","10,140,685",3.92,"24,267",0.01,"1,704.58",Lampasas,Lampasas,TX,Texas,48281,Lampasas,31.064,-98.1824,7377,385.4,shape,False,True,America/Chicago,3,76550,1840020846
Texas,47854,Laredo,48,0,"251,462","79,974","166,290,032",64.2,"1,566,734",0.6,"3,916.55",Laredo,Laredo,TX,Texas,48479,Webb,27.5625,-99.4874,255293,922.7,shape,False,True,America/Chicago,2,78046 78045 78043 78040 78041 78042,1840021002
Texas,49204,Levelland,48,0,"12,601","5,391","16,589,128",6.41,"5,302",0.0,"1,967.34",Levelland,Levelland,TX,Texas,48219,Hockley,33.5806,-102.3635,12607,476.9,shape,False,True,America/Chicago,3,79336 79338,1840020606
